,NAME,ADDRESS,City,State Code,Zip Code,County,Rural Versus Urban,FTE - Employees on Payroll,Total Days (V + XVIII + XIX + Unknown),Number of Beds,Total Bed Days Available,Total Discharges (V + XVIII + XIX + Unknown),Total Days (V + XVIII + XIX + Unknown) + Total for all Subproviders,Number of Beds + Total for all Subproviders,Total Bed Days Available + Total for all Subproviders,Total Discharges (V + XVIII + XIX + Unknown) + Total for all Subproviders,Hospital Total Days (V + XVIII + XIX + Unknown) For Adults &amp; Peds,Hospital Number of Beds For Adults &amp; Peds,Hospital Total Bed Days Available For Adults &amp; Peds,Hospital Total Discharges (V + XVIII + XIX + Unknown) For Adults &amp; Peds,Cost of Charity Care,Total Bad Debt Expense,Cost of Uncompensated Care,Total Unreimbursed and Uncompensated Care,Total Salaries From Worksheet A,Overhead Non-Salary Costs,Depreciation Cost,Total Costs,Inpatient Total Charges,Outpatient Total Charges,Combined Outpatient + Inpatient Total Charges,Wage-Related Costs (Core),Wage-Related Costs (RHC/FQHC),Total Salaries (adjusted),Contract Labor,Wage Related Costs for Part - A Teaching Physicians,Wage Related Costs for Interns and Residents,Cash on Hand and in Banks,Temporary Investments,Notes Receivable,Accounts Receivable,Less: Allowances for Uncollectible Notes and Accounts Receivable,Inventory,Prepaid Expenses,Other Current Assets,Total Current Assets,Total Fixed Assets,Investments,Other Assets,Total Other Assets,Total Assets,Accounts Payable,"Salaries, Wages, and Fees Payable",Payroll Taxes Payable,Notes and Loans Payable (Short Term),Deferred Income,Other Current Liabilities,Total Current Liabilities,Mortgage Payable,Notes Payable,Unsecured Loans,Other Long Term Liabilities,Total Long Term Liabilities,Total Liabilities,General Fund Balance,Total Fund Balances,Total Liabilities and Fund Balances,Managed Care Simulated Payments,Total IME Payment,Inpatient Revenue,Outpatient Revenue,Gross Revenue,Net Patient Revenue,Less Total Operating Expense,Net Income from Service to Patients,Total Other Income,Total Income,Total Other Expenses,Net Income,Cost To Charge Ratio,Net Revenue from Medicaid,Medicaid Charges
377,HAVEN BEHAVIORAL HOSPITAL OF FRISCO,5680 FRISCO SQUARE BLVD  SUITE 3000,FRISCO,TX,75034-3308,,U,90.3,"12,748",70,"25,550",1732,"12,748",70,"25,550","1,732",12748,70,25550,1732,0,0,0,0,6197344,8321301,1336253,13959424,16572400,762450,17334850,0,0,0,0,0,0,200,0,0,1451474,-407788,30605,39015,0,1113506,0,0,177582,177582,9724020,357247,334918,0,0,0,445034,1137199,0,0,0,18348029,18348029,19485228,-9761208,-9761208,9724020,0,0,16572400,788190,17360590,9574094,14518645,-4944551,441,-4944110,0,-4944110,,0,0
378,FIRST HOSPITAL HOPKINSVILLE,210 WEST 17TH STREET,HOPKINSVILLE,KY,42240,CHRISTIAN,U,134.18,"22,884",97,"35,405",1545,"22,884",97,"35,405","1,545",22884,97,35405,1545,0,0,0,0,6709982,6849731,736392,10995283,41191200,660200,41851400,0,0,0,0,0,0,-31105,0,0,2519426,0,9610,57719,0,2555650,0,0,22893039,22893039,37170502,313426,472470,0,5300000,0,3975409,-6850035,0,0,0,0,0,-6850035,44020537,44020537,37170502,0,0,41653945,660200,42314145,17478639,13559713,3918926,124328,4043254,0,4043254,,0,0
379,OCHSNER REHABILITATION HOSPITAL,2614 JEFFERSON HIGHWAY,JEFFERSON,LA,70121-1015,JEFFERSON,U,110.89,"14,036",56,"20,440",1000,"14,036",56,"20,440","1,000",14036,56,20440,1000,0,0,0,0,7350963,11347360,500233,19494303,41028838,0,41028838,0,0,7350963,0,0,0,0,0,0,2682317,0,0,297431,72846,3052594,0,17065482,1122653,18637461,23485454,535184,613444,0,156699,0,1516516,2602259,10321822,15811330,0,150000,26283152,28885411,-5399957,-5399957,23485454,0,0,41028838,0,41028838,17853719,18698323,-844604,10315,-834289,-100845,-733444,,0,0
380,SEBASTICOOK VALLEY HOSPITAL,99 GROVE STREET,PITTSFIELD,ME,04967-,SOMERSET,R,242.34,"3,580",25,"9,125",629,"15,414",25,"9,125",629,1700,25,9125,629,631315,3438158,2424686,2442599,16369016,23393284,1503304,36480115,10867425,55534344,66401769,0,0,0,0,0,0,16416477,20738,0,6357843,-2199313,255960,187144,2834265,23873114,0,0,1387900,1413145,43335328,2428536,0,0,786633,0,328728,5725912,0,5365377,0,389645,5755022,11480934,31854394,31854394,43335328,0,0,11533331,63083721,74617052,41557247,39762300,1794947,2623231,4418178,0,4418178,0.55,5810283,10608583
381,SHRINERS HOSPITALS FOR CHILDREN - C,3229 BURNETT AVENUE,CINCINNATI,OH,45229,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
382,NEW ULM MEDICAL CENTER,1324 FIFTH STREET NORTH,NEW ULM,MN,56073,BROWN,R,392.05,"4,013",24,"8,760",1480,"7,108",34,"12,410","1,886",3532,24,8760,1480,433153,2609843,2096898,2747518,31987498,73110003,2132482,70579415,31059396,119371024,150430420,0,0,0,0,0,0,3650,0,0,29691962,-15137939,1839187,0,240686224,257345872,0,11121,817281,828402,282371096,1694142,2893158,149442,58643,0,150524854,155320239,0,0,0,32290,32290,155352529,127018567,127018567,282371096,0,0,31285074,170391194,201676268,108441860,105097501,3344359,4472828,7817187,0,7817187,0.47,1945779,4446560
383,PARKLAND HLTH CTR - BONNE TERRE,7245 RAIDER ROAD,BONNE TERRE,MO,63628,ST FRANCOIS,R,41.26,63,3,"1,095",39,63,3,"1,095",39,63,3,1095,39,1334127,2180182,2631150,2631150,3304292,6137733,0,14167977,929765,61526678,62456443,0,0,0,0,0,0,19635,0,0,11259318,0,1068411,21773,329088,13080052,0,0,9876082,9876082,54069045,1183070,0,0,0,0,0,7925044,0,0,0,274924,274924,8199968,45869077,45869077,54069045,0,0,71467481,287984882,359452363,97445150,96043985,1401165,1349691,2750856,6153647,-3402791,0.23,2375184,10391497
384,MERCY HOSPITAL & HEALTH CARE CENTER,710 KENWOOD AVENUE SOUTH,MOOSE LAKE,MN,55767-,CARLTON,R,193.18,"2,315",25,"9,125",463,"35,973",25,"9,125",463,1331,23,8395,463,4674,1103334,701175,2011014,15023215,24133900,3089044,34938561,11776787,50090559,61867346,0,0,0,0,0,0,8297565,4966838,0,10603427,-4906000,927052,428938,0,20695568,0,680702,154656,835358,57711588,835415,1819589,0,633446,2508,54636,3345594,36015114,0,0,205480,36220594,39566188,18145400,18145400,57711588,0,0,13245614,49208820,62454434,35888136,39157115,-3268979,1775461,-1493518,0,-1493518,0.56,5340319,11775756
385,GLENCOE REGIONAL HEALTH SERVICES,705 EAST 18TH STREEET,GLENCOE,MN,55336-,,R,332.45,"3,658",25,"9,125",1031,"35,534",133,"45,674","1,031",1758,25,9125,1031,929877,1214416,3367580,4503839,30769880,31000902,4528589,50891154,31274246,59788152,91062398,0,0,0,0,0,0,8159343,0,0,7906718,0,543452,960365,2428038,20313788,0,38417477,3505029,41922506,113597620,1831014,0,0,1385000,0,5361284,8577298,0,25605916,0,2167853,27773769,36351067,77246553,77246553,113597620,0,0,34499984,72712387,107212371,62846925,62998861,-151936,6276170,6124234,0,6124234,0.56,6509832,13681586
386,CREEKSIDE BEHAVIORAL HEALTH,1025 EXECUTIVE PARK BLVD,KINGSPORT,TN,37660,SULLIVAN,U,118.16,"11,354",72,"23,976",1560,"11,354",72,"23,976","1,560",11354,72,23976,1560,0,0,0,0,5391369,6076364,498615,11009728,22121652,960953,23082605,0,0,0,0,0,0,24659,0,0,3820972,-2696165,36490,83930,1292245,2583612,0,0,0,0,17993102,618921,546103,0,0,0,-7945,1157079,0,0,0,0,0,1157079,16836023,16836023,17993102,0,0,24339399,960953,25300352,7293442,11467733,-4174291,9633,-4164658,0,-4164658,,0,0
387,SUGAR LAND REHAB HOSPITAL,7622 BRANFORD PLACE,SUGARLAND,TX,77479,,U,88.81,"4,575",41,"14,965",381,"4,575",41,"14,965",381,4575,41,14965,381,32756,0,32756,32756,3104973,4818176,64453,7572881,11204141,320302,11524443,374724,0,3104973,111433,0,0,52378,0,0,2086338,0,0,77120,0,2215836,0,0,0,0,3715402,837047,0,0,0,0,1388960,1587765,0,0,0,3812663,3812663,5400428,-1685026,-1685026,3715402,0,0,11204141,320302,11524443,7366399,7923149,-556750,2396,-554354,0,-554354,0.66,0,0
388,CLEAR VIEW BEHAVIORAL HEALTH,4770 LARIMER PARKWAY,JOHNSTOWN,CO,80534,LARIMER,U,123.09,"9,529",92,"33,580",994,"9,529",92,"33,580",994,9529,92,33580,994,0,0,0,0,7061693,7577007,737023,14174371,18112398,357617,18470015,0,0,0,0,0,0,7636,0,0,7381271,-5882450,22300,182005,144,1740815,0,0,0,0,17093405,919608,584615,0,0,0,84,1504307,0,0,0,0,0,1504307,15589098,15589098,17093405,0,0,18800621,357617,19158238,6497217,14638700,-8141483,35394,-8106089,0,-8106089,,0,0
389,ELBERT MEMORIAL HOSPITAL,4 MEDICAL DRIVE,ELBERTON,GA,30635,ELBERT,R,108.82,"1,665",52,"10,556",264,"1,665",52,"10,556",264,886,48,9744,264,58554,1454043,537737,537737,3032337,4730109,295206,6291381,3620882,16547140,20168022,523964,0,3027947,120560,0,0,-508201,0,0,9421137,-6862970,288386,0,100231,2426397,0,7747,0,7747,6317425,2129921,213974,136674,958261,0,0,3438830,0,0,0,934067,934067,4372897,1944528,1944528,6317425,0,0,3472668,17714052,21186720,5154098,7762446,-2608348,2618265,9917,0,9917,0.31,649393,2140690
390,ENCOMPASS HEALTH REHABILITATION HOSP,1000 PHYSICIANS WAY,FRANKLIN,TN,37067,WILLIAMSON,U,88.44,"10,136",40,"14,640",840,"10,136",40,"14,640",840,10136,40,14640,840,0,0,0,0,6294321,6344139,1135900,11596256,22580006,0,22580006,865702,0,6294321,117581,0,0,2599131,0,0,2084640,-538227,73599,87170,0,4306313,0,0,629431,629431,25204553,157481,449497,0,0,0,93769,700747,0,0,0,0,0,700747,24503806,24503806,25204553,0,0,22580006,0,22580006,14002579,12638460,1364119,33171,1397290,0,1397290,,0,0
391,THREE RIVERS HOSPITAL,507 HOSPITAL WAY,BREWSTER,WA,98812-,OKANOGAN,R,86.02,"1,306",25,"9,125",240,"16,131",25,"9,125",240,632,25,9125,240,283837,519876,752793,2098947,6474611,8778582,571517,13210167,6240258,13973461,20213719,0,0,0,0,0,0,759063,0,0,3547463,-1575000,222812,147534,0,3319141,0,0,271250,271250,6352026,1125258,662774,0,690833,0,256198,2735063,0,317737,0,628226,945963,3681026,2671000,2671000,6352026,0,0,6402194,17079094,23481288,12827620,15253193,-2425573,1958741,-466832,0,-466832,0.65,3200757,7106842
392,PETERSON HEALTHCARE AND REHAB,20 HOMESTEAD AVENUE,WHEELING,WV,26003,OHIO,U,22,"2,941",22,"8,030",161,"52,766",172,"62,780",161,2941,22,8030,161,0,0,0,0,6453867,16005857,136494,18842902,33912516,195376,34107892,115172,0,6453867,1651395,0,0,904077,0,0,8728364,-450869,0,303269,0,9484841,0,0,-7892,-7892,10452356,559923,1854052,0,0,0,0,2413975,0,6355990,0,0,6355990,8769965,1682391,1682391,10452356,0,0,31750547,195376,31945923,21943694,22459724,-516030,32174,-483856,0,-483856,,0,0
393,RIVER FALLS AREA HOSPITAL,1629 E. DIVISION STREET,RIVER FALLS,WI,54022-,ST CROIX,R,159.84,"2,071",25,"9,125",767,"2,071",25,"9,125",767,1652,25,9125,767,274933,1562592,1144758,1159177,14855911,25781015,1226333,33168671,13132298,53469862,66602160,0,0,0,0,0,0,4375,0,0,11480464,-5539896,1238289,0,130887187,138203528,0,0,218500,218500,152520178,860761,1214505,59843,48465,0,44358713,46542287,0,0,0,32738,32738,46575025,105945153,105945153,152520178,0,0,13132299,55257899,68390198,38439011,40636926,-2197915,2238954,41039,0,41039,0.5,558635,972079
394,NORTHERN IDAHO ADVANCED CARE HOSPITA,600 NORTH CECIL,POST FALLS,ID,83854,KOOTENAI,U,119.09,"9,820",40,"14,600",380,"9,820",40,"14,600",380,9820,40,14600,380,0,0,0,0,7305304,8292293,518803,15013082,32716379,736,32717115,0,0,0,0,0,0,137480,0,0,8097522,-4988427,169596,160052,173484,3749707,0,0,286958447,286958447,291240532,373436,630687,130171,0,0,291311645,292445939,0,0,0,338381,338381,292784320,-1543788,-1543788,291240532,0,0,32716380,736,32717116,13930915,15597597,-1666682,916334,-750348,0,-750348,,0,0
395,PARK CENTER  INC.,1909 CAREW STREET,FORT WAYNE,IN,46805,ALLEN,U,232.41,"1,437",16,"2,944",286,"1,437",16,"2,944",286,1437,16,2944,286,0,0,0,0,11283327,8488480,1,7246747,1913709,3163460,5077169,0,0,0,0,0,0,2362056,0,0,12467644,-7502365,76342,400217,2393225,10383424,0,0,300487,300487,16190281,218756,1162212,0,100000,0,3530690,5011658,0,0,0,3733558,3733558,8745216,7445065,7445065,16190281,0,0,1916022,17828646,19744668,10433428,19978730,-9545302,6549512,-2995790,0,-2995790,,0,0
396,CENTERPOINTE HOSPITAL OF COLUMBIA,1201 INTERNATIONAL DRIVE,COLUMBIA,MO,65202-1612,BOONE,U,71.31,"7,931",72,"25,560",941,"7,931",72,"25,560",941,7931,72,25560,941,0,0,0,0,4124945,5984475,58254,9307512,16655100,297975,16953075,0,0,0,0,0,0,2108881,0,0,2539020,-267007,89426,100753,0,4571416,0,0,306959,306959,4990415,710447,121921,156,0,0,106469,938993,0,0,0,8614834,8614834,9553827,-4563412,-4563412,4990415,0,0,16655100,970518,17625618,7009896,10109420,-3099524,4421,-3095103,0,-3095103,,0,0
397,ENCOMPASS HEALTH REHABILITATION HOSP,1001 WEST MINERAL AVENUE,LITTLETON,CO,80120,ARAPAHOE,U,84.64,"7,251",40,"8,480",597,"7,251",40,"8,480",597,7251,40,8480,597,0,0,0,0,4596130,4502159,597204,8844238,16160102,0,16160102,0,0,4596130,0,0,0,2373093,0,0,2250850,-572829,62400,36567,0,4150081,0,0,13098860,13098860,31761971,353327,392281,0,0,0,166388,911996,0,0,0,9785073,9785073,10697069,21064902,21064902,31761971,0,0,16160102,0,16160102,10811273,9098289,1712984,141612,1854596,0,1854596,,0,0
398,SIDNEY REGIONAL MEDICAL CENTER,1000 POLE CREEK CROSSING,SIDNEY,NE,69162-,CHEYENNE,R,231.62,"1,999",19,"6,935",520,"34,362",80,"29,200",520,1236,15,5475,520,484023,2056695,2172111,2566867,24819045,32871084,4560276,48305209,24332665,49891320,74223985,0,0,0,0,0,0,11764797,592396,0,9940150,-2320360,1377175,698121,1079044,23969990,0,19083202,0,19083202,85140462,1985583,0,0,858975,0,3400324,6244882,38260799,0,0,880100,39140899,45385781,39754681,39754681,85140462,0,0,24290365,60291889,84582254,55956037,59746824,-3790787,2436674,-1354113,0,-1354113,0.65,2429326,4339381
399,OCHILTREE GENERAL HOSPITAL,3101 GARRETT DRIVE,PERRYTON,TX,79070,OCHILTREE,R,115.44,"2,264",25,"9,125",554,"18,747",25,"9,141",554,1362,25,9125,554,953810,583716,1299993,1811808,8913557,12523855,944715,17086260,7828708,16606157,24434865,0,0,0,0,0,0,2054060,17859806,0,4532444,-2664484,507628,236708,0,54695890,0,0,-10000,-10000,78543125,645973,845146,21392,10525349,31678,67873,50941836,0,0,0,0,0,50941836,27601289,27601289,78543125,0,0,8621434,16606157,25227591,13231236,21437412,-8206176,9363929,1157753,1000000,157753,0.7,442106,2277169
400,SHRINERS HOSPITAL,3551 N BROAD STREET,PHILADELPHIA,PA,19140,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
401,LINCOLN HOSPITAL,10 NICHOLS STREET,DAVENPORT,WA,99122-,LINCOLN,R,137.79,"5,743",25,"9,125",344,"28,040",25,"9,125",344,1201,25,9125,344,42924,488699,444190,1178227,14321353,11671180,459515,24405282,6917485,24700976,31618461,0,0,0,0,0,0,6018664,6598108,0,514124,-976678,589251,82620,1306286,15049296,0,0,0,0,17870579,965121,1577429,0,0,0,1464104,4006654,0,2695122,0,0,2695122,6701776,11168803,11168803,17870579,0,0,3521053,29806123,33327176,25732634,25992533,-259899,1823841,1563942,0,1563942,0.77,4816680,7191278
402,WEISMAN CHILDRENS REHAB HOSPITAL,92 BRICK ROAD,MARLTON,NJ,8053,BURLINGTON,U,175.47,"2,864",18,"6,570",115,"2,864",18,"6,570",115,2864,18,6570,115,0,0,0,0,9601880,8576489,1778783,17052052,18742034,18764454,37506488,0,0,0,0,0,0,722151,0,0,3727089,-951378,0,70253,0,3138019,0,0,-9691,76479,3763245,418533,357811,33047,0,0,352533,1161924,0,0,0,0,0,1161924,2601321,2601321,3763245,0,0,18742034,18764454,37506488,22883695,22143987,739708,0,739708,0,739708,,0,0
403,MINNIE HAMILTON HEALTH CARE CENTER,186 HOSPITAL DRIVE,GRANTSVILLE,WV,26147-,CALHOUN,R,125.67,"1,361",25,"9,125",192,"29,714",49,"17,885",192,706,25,9125,192,5436721,724120,17555406,17555406,12524232,9889885,609212,18917737,8399729,16270353,24670082,0,0,0,0,0,0,1506631,0,0,3210571,-1620184,148001,11420,0,3598641,0,0,0,0,5647293,1059583,0,803038,13259,0,198281,2074161,0,964930,0,2704519,3669449,5743610,-96317,-96317,5647293,0,0,8610657,18539503,27150160,18887875,22414117,-3526242,3971419,445177,0,445177,0.77,4828853,4389892
404,HEALDSBURG DISTRICT HOSPITAL,1375 UNIVERSITY AVENUE,HEALDSBURG,CA,95448,SONOMA,U,248.54,"2,480",25,"9,125",699,"7,934",42,"15,330",699,1603,21,7665,699,74901,2461697,1218162,1218162,26596088,31161465,2371768,48960012,40841584,64580170,105421754,0,0,0,0,0,0,8175839,0,0,5157609,0,810562,0,1335746,20333860,0,128617,5216728,5345345,35777225,3664458,2943467,0,767000,0,0,9379925,0,9671000,0,2328000,11999000,21378925,14398300,14398300,35777225,0,0,42753097,75385438,118138535,52627967,57497986,-4870019,5958927,1088908,-54336,1143244,0.46,16425721,35044011
405,MCLEAN HOSPITAL,115 MILL STREET,BELMONT,MA,2478,MIDDLESEX,U,"1,403.82","72,915",219,"79,935",5982,"72,915",219,"79,935","5,982",72915,219,79935,5982,0,0,0,0,132620714,117600221,9586094,112565498,206508991,76875143,283384134,0,0,131252640,0,0,0,12531487,0,0,16249447,0,460420,2585420,556052,37448166,0,0,161035091,161035091,278344000,0,0,0,0,0,31424000,31424000,0,0,0,80512000,80512000,111936000,166408000,166408000,278344000,0,0,206485726,137276510,343762236,176792180,250220935,-73428755,78220755,4792000,0,4792000,,0,0
406,LEO N LEVI MEMORIAL HOSPITAL,300 PROSPECT AVENUE,HOT SPRINGS,AR,71901,GARLAND,U,0.05,1,1,365,1,"4,703",53,"19,345",907,1,1,365,1,129310,280614,269956,269956,4447874,4424945,151739,6155576,7215941,4105266,11321207,431890,0,4447874,0,0,0,1852688,809929,0,488431,0,64633,51036,0,4709134,0,0,1062149,1062149,6916710,178473,368785,0,0,0,196956,744214,0,0,0,0,0,744214,6172496,6172496,6916710,0,0,7215941,4105266,11321207,6615954,8872819,-2256865,3734097,1477232,0,1477232,0.54,1805468,3064915
407,CHOCTAW HEALTH CENTER,ROUTE 7 BOX R50,PHILADELPHIA,MS,39350,NESHOBA,R,387,695,20,"7,300",220,695,20,"7,300",220,695,20,7300,220,0,0,0,0,19406948,66143445,2236937,20431064,12510,493136,505646,1,0,19406948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85550393,-85550393,0,-85550393,0,-85550393,,0,0
408,PROVIDENCE MOUNT CARMEL HOSPITAL,982 EAST COLUMBIA,COLVILLE,WA,99114,STEVENS,R,227.42,"4,776",25,"9,125",966,"48,452",25,"9,125",966,3071,25,9125,966,480497,1019677,1537455,1759683,16970105,19213298,2497096,41998620,21499396,87787192,109286588,0,0,0,0,0,0,193931,0,0,6497077,-472627,499506,0,0,25389648,0,112034,0,112034,51817727,687637,1382390,0,-9665,0,82310,3990830,0,0,0,27327448,27327448,31318278,20499449,20499449,51817727,0,0,21510195,95011482,116521677,52528888,51809684,719204,496469,1215673,0,1215673,0.38,9140860,24635164
409,TATTNALL HOSPITAL COMPANY  LLC,ROUTE 1 BOX 121,REIDSVILLE,GA,30453,TATTNALL,R,171.7,"2,900",25,"9,125",1390,"15,980",25,"9,125","1,390",2387,25,9125,1390,148217,4503287,1165830,1474409,13076736,41082211,1644090,55073775,230391307,244116417,474507724,0,0,0,0,0,0,5904127,0,0,71333963,-57407715,1947810,173558,0,22349648,0,0,193520184,193520184,235857179,2827073,1563528,0,552066,0,3304975,8247642,0,2221245,0,0,2221245,10468887,225388292,225388292,235857179,0,0,230392051,244156549,474548600,93181003,54158949,39022054,702707,39724761,64404,39660357,0.12,2447755,24526365
410,SHRINERS HOSPITAL FOR CHILDREN,2211 NORTH OAK PARK AVE,CHICAGO,IL,60707-3351,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
411,HEBREW REHABILITATION CENTER,1200 CENTRE STREET,ROSLINDALE,MA,2127,SUFFOLK,U,"1,093.58","222,615",667,"243,455",401,"237,685",717,"261,705",401,222615,667,243455,401,0,0,0,0,74801141,57437408,3651194,115814430,170758366,5210975,175969341,0,0,0,0,0,0,2565818,0,0,15660745,0,0,2963072,1356299,22545934,0,6092079,1207202,7299281,56458146,20668210,0,0,1065578,0,2367339,24101127,0,2763885,0,123070373,125834258,149935385,-93477239,-93477239,56458146,0,0,198505355,4766847,203272202,123412838,132239152,-8826314,5403367,-3422947,0,-3422947,,0,0
412,PAM REHAB HOSP OF ROUND ROCK,351 SETON PARKWAY,ROUND ROCK,TX,78665,WILLIAMSON,U,92.64,"8,894",40,"14,080",735,"8,894",40,"14,080",735,8894,40,14080,735,0,0,0,0,6229929,7458260,174324,12591633,28819228,491837,29311065,0,0,0,0,0,0,543098,0,0,2468394,-120522,30696,52835,104430,3078931,0,0,0,0,4001824,3055760,495581,17824,0,0,0,3569165,0,0,0,762943,762943,4332108,-330284,-330284,4001824,0,0,28819228,491837,29311065,15008224,13688189,1320035,5681,1325716,1,1325715,,0,0
413,HORN MEMORIAL HOSPITAL,700 EAST 2ND STREET,IDA GROVE,IA,51445,IDA,R,125.1,"1,992",25,"9,125",254,"41,284",25,"9,125",254,993,25,9125,254,33160,417556,297088,888481,9173943,11499759,1436345,20074207,5192675,25827155,31019830,0,0,0,0,0,0,3668615,0,0,5356960,-2187000,369055,242311,618526,8169553,0,6029643,561878,6591521,30277860,353976,800924,20976,570491,0,750653,2497020,10361713,0,0,0,10361713,12858733,17419127,17419127,30277860,0,0,5203103,26686136,31889239,19351089,20673702,-1322613,1494553,171940,0,171940,0.65,1612158,3405055
414,MEMORIAL HOSPITAL - ABILENE,511 NORTHEAST TENTH STREET,ABILENE,KS,67410-2100,DICKINSON,R,160.91,"3,606",18,"6,570",411,"68,408",103,"38,414",523,1260,18,6570,411,123559,1793787,1283680,2296449,16171602,19882796,2158700,32130923,17361051,38334396,55695447,0,0,0,0,0,0,945261,228879,0,5817955,-1695882,301213,413973,46069,6607119,0,10266910,3340339,13607249,38755835,874495,1048494,0,910000,0,200876,3033865,19053235,0,0,12061299,31114534,34148399,4607436,4607436,38755835,0,0,18022652,39316044,57338696,31426890,36054398,-4627508,3728446,-899062,-4800,-894262,0.58,466357,2563904
415,EL PASO LTAC HOSPITAL,1221 N. COTTON STREET  3RD FLOOR,EL PASO,TX,79902-,EL PASO,U,55.3,"2,280",33,"12,045",128,"2,280",33,"12,045",128,2280,33,12045,128,0,0,0,0,1326391,1332955,247698,2626926,8778707,0,8778707,0,0,0,0,0,0,39667,0,0,1785607,0,0,0,-134299,1687329,0,0,22500,22500,2751147,2034664,0,258001,0,0,0,2292665,0,541060,0,0,541060,2833725,-82578,-82578,2751147,0,0,8778707,0,8778707,2545825,2659346,-113521,18644,-94877,0,-94877,,0,0
416,THE SHRINERS HOSP FOR CHILDREN,516 CAREW STREET,SPRINGFIELD,MA,1104,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
417,THE SHRINERS HOSP FOR CHILDREN,51 BLOSSOM STREET,BOSTON,MA,2114,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
418,NORTHERN ITASCA HOSPITAL DISTRICT,258 PINE TREE DRIVE,BIGFORK,MN,56628-0258,ITASCA,R,109.96,932,20,"7,300",213,"15,652",60,"22,964",213,590,20,7300,213,0,231191,168137,267105,9488230,15736294,1845442,19387821,9827485,17713376,27540861,0,0,0,0,0,0,1491001,215713,0,2517629,0,494478,263872,832621,6060314,0,4500211,464593,4964804,27357192,531280,1020252,0,700000,0,156370,2407902,0,11665000,0,0,11665000,14072902,13284290,13284290,27357192,0,0,10495700,19418362,29914062,20414287,24714875,-4300588,3966546,-334042,0,-334042,0.7,336202,618169
419,WELIA HEALTH,301 HIGHWAY 65 SOUTH,MORA,MN,55051-1950,KANABEC,R,394.32,"3,503",25,"9,125",1149,"32,192",25,"9,125","1,149",2846,21,7665,1149,81967,3010762,2887610,4748662,28822690,60811798,3757939,67605374,21384622,128568723,149953345,0,0,0,0,0,0,14653568,0,0,11096415,0,2115938,302755,43920065,73485715,0,2734344,4540014,7274358,149455505,3456767,3310666,0,0,0,1233620,8001053,0,60928610,0,27447312,88375922,96376975,53078530,53078530,149455505,0,0,23397120,145707238,169104358,82441921,89221244,-6779323,11768974,4989651,0,4989651,0.45,14641559,36603897
420,OAK LEAF SURGICAL HOSPITAL LLC,1000 OAKLEAF WAY,ALTOONA,WI,54720,EAU CLAIRE,U,218.68,784,13,"4,745",409,784,13,"4,745",409,784,13,4745,409,0,658062,232083,1964467,15134777,38636537,2728846,52180669,27728220,119854944,147583164,3929587,0,15134777,0,0,0,2561963,0,0,17531221,-3859566,2188275,425848,0,18872808,0,0,13418912,13418912,46687630,1593589,2224603,0,2354543,0,1212501,7567556,0,6931250,0,0,6931250,14498806,32188824,32188824,46687630,0,0,27728218,119982414,147710632,78834936,54429376,24405560,205362,24610922,0,24610922,0.35,761523,7053542
421,THE RICHLAND HOSPITAL  INC,333 EAST SECOND STREET,RICHLAND CENTER,WI,53581-,RICHLAND,R,251.15,"3,705",25,"9,125",912,"11,044",25,"9,125",912,2509,21,7665,912,229012,2403843,1199656,3175925,18034320,23800947,2217444,34349442,18678317,61790394,80468711,0,0,0,0,0,0,17330727,107966,0,12175584,-5893515,1843097,212771,711716,26803741,0,16041490,2156447,18197937,71284946,1752517,2997427,0,16018,0,0,4765962,0,0,0,303774,303774,5069736,66215210,66215210,71284946,0,0,19557616,69814083,89371699,42955866,41835267,1120599,3107490,4228089,2424313,1803776,0.43,3172251,12061180
